yue	eng
即係 53 年 後 嘅 今日 我 有 九 個 孫 兩 個 曾孫 五 個 孫 係 男丁 有 讀 學士 碩士 博士 其中 一個 讀 醫 有 幾個 孫 都 幾時 髦 佢哋 都 好 新潮 但 未係 最 入 潮流 嗰個 笑聲 我 仲有 一個 孫 讀 咗 八年 嘅 大專 笑聲 佢 仲未 攞到 學位 但 因為 佢 諗住 成為 一 位 喜劇 演員 所以 我哋 盡可能 俾 佢 繼續 留 喺 學校 讀 因為 喺屋企 搞笑 唔 代表 出面 可以 做到 一個 喜劇 演員 啱唔啱 笑聲 唔理點 樣 佢哋 都 係 好嘅 細路 嚟 佢哋 冇 吸毒 高中 冇 大肚 冇 犯罪	Here it is 53 years later I now have nine grandchildren two great grandchildren Five of the grandchildren are boys I have master s Ph D undergrad one in medical school I have a couple that are trending They re almost there but not quite Laughter I have one who has been in college now for eight years Laughter He doesn t have a degree yet but he wants to be a comedian So we re just trying to get him to stay in school Because you never know just because you re funny at home does not make you a comedian right Laughter But the thing about it they re all good kids no drugs no babies in high school no crime
諗下 都 覺得 興奮 利用 計算 科學 去 開拓 人類 經歷 嘅 機會 就喺 手裏 邊 而 我哋 只係 啱啱 捉緊 到	And that s the exciting thing The opportunities to use computing to advance the human experience are within our reach here and now and we are just beginning
掌聲	Applause
你 個 心 就 會 覺得 突然之間 冇咗 一啲嘢	it means that you suddenly have this loss in your mind
訪客 人數 翻倍	with visitors doubled
你 要 學識 寬恕	You must be tolerant
我 指 嘅係 地球	I mean Earth
嗰日 係 五月 一個 星期六 嘅 下晝 我 突然 意識到 聽日 就係 母親節 而 我 仲未 準備 禮物 俾 我 媽咪 所以 我 開始 諗 我 要 送 佢 乜嘢 做 母親節 禮物 呢 我 諗 點解 唔 利用 我 同 我 嘅 研究小組 喺 麻省 理工 媒體 實驗室 開發 嘅 軟件 Scratch 嚟 做 張 有 互動 嘅 母親節 卡 俾 佢 呢 我哋 整咗 呢個 軟件 令人 可以 輕鬆 創作 佢哋 自己 有 互動 功能 嘅 故事 遊戲 或者 動畫 而且 同人 分享 佢哋 嘅 創作 於是 我 諗 或者 呢個 係 一個 好 機會	It was a Saturday afternoon in May and I suddenly realized that the next day was Mother s Day and I hadn t gotten anything for my mom so I started thinking about what should I get my mom for Mother s Day I thought why don t I make her an interactive Mother s Day card using the Scratch software that I d been developing with my research group at the MIT Media Lab We developed it so that people could easily create their own interactive stories and games and animations and then share their creations with one another So I thought this would be an opportunity to use Scratch to make an interactive card for my mom
今時今日 有 四千 萬 個 美國人 孭 住 一 筆 讀書 債 投身 社會 佢哋 屋企 窮 要 借錢 讀大學 而家 夾埋 嘅 債務 有成 一兆 美金 咁多 呢班 畢業生 乜嘢 工 都 要 試 為 求 還 得 清 自己 筆 債 喺 美國 連 一個 破 咗 產 嘅 爛賭二 都 翻身 有望 但 完全 唔使指意 一個 畢業生 可以 還清 筆 債	Today 40 million Americans are indebted for their passage to the new economy Too poor to pay their way through college they now owe lenders more than one trillion US dollars They do find what jobs they can get to pay off a debt that is secured on their person In America even a bankrupt gambler gets a second chance But it is nearly impossible for an American to get discharged their student loan debts
恭喜 你 呀	Congratulations
把 自我 暫停	and my self is suspended
呢個 係 2008 年 嘅時 代 廣場	this is Times Square in 2008
而且 事實上	officials are not very happy
因為 一 講 我 就 會 淚 流 不止	without tearing up
我哋 需要 認清 楚 呢啲 信息 嘅 力量	and we need to recognize the capacity of this information
種族 的 劃分	race has no basis
呢啲 病 係 西方 飲食 嘅 直接 結果	And that s the direct result of eating a Western diet
我 喺 塞拉里昂 出世 長大	I was born and raised in Sierra Leone
多謝	Thank you
我哋 瘋狂 地 試圖 尋找	We ve just been insanely trying to figure out
有關於 嗰啲 拿 低 報酬 卻 保持 和藹 嘅 護士	It was underpaid and really loving nurses
這個	And this
掌聲	Applause
當 我 準備 考 商學院 嘅時候	And when I was applying to business school
佢 會 改變 會變 換	It changes and it morphs
仲 成為 殘疾人 滑水 比賽 冠軍	and was a champion disabled waterskier
僅僅 係 我們 自己 創造 的	than the ones our selves have created
掌聲	Applause
相片 裏面 係 我 朋友 嘅 面孔	I mean these were the faces of my friends
但 佢 會 導致死亡	Now this is of course not a disease per se
我 唔係 負責 你 訂購 咗 嘅嘢	for anything you have ordered
來 作為 傳承 生命 嘅 機制	as a mechanism for life to move forward
即使 呢 種 缺乏 在 過去 令 我 感到	that used to make me feel
多謝	Thank you
係 因為 呢啲 精神病 喺 生命 好早 期 就 出現	Fifty percent will have onset by age 14
跳舞 囉	Dancing
我 唔 認同 將 佢哋 嘅 生產過程 工業化	and I don t think it s just fine to industrialize their production
影相 上傳	It s no different
來 製造 咁 精美 嘅 圖書 MM 係	to make books as beautiful as that MM Yes
不過 其實 係 進步 咗	which was actually progress
你哋 聽到 嘛	Can you hear me OK
但 公元前 1984 年 喺 一 座 消失 咗 唔係 好耐 嘅 城市 裏面 發展 想法 呢樣嘢 已經 一早 開始 萌芽 佢 亦 證明 咗 喺 海邊 執 貝殼 係有 用 嘅	Making ideas actually started in 1984 BC at a not lost for long city found from above It certainly puts finding seashells by the seashore in perspective
掌聲	Applause
這 真 令人 眼界 大開 因為 他們 根本 不是 蠢人 來的	And it was fascinating because they were not stupid people at all
笑 得 最大 聲 嗰個 睇嚟 宜家 都 仲係	you probably still are
而 我 首先 係 個 異類 呢個 身份	And I was other before being anything else
你 可以 睇到 整個 社會	And so you see this whole society
林 季 儀	Lam Kwai yan
我 有 一個 問題 畀 大家 但係 我 未有 答案 我們 冇 答案 但係 我哋 努力 緊 我哋 係點 努力 呢 我哋 送咗 太空船 去 呢 三 個 行星 度 有啲 圍繞 緊 行星 包括 MAVEN 太空船 目前 喺 火星 嘅 軌道 上面 呢項 計劃 我 都 有 參與 而且 係由 呢度 嘅 科羅拉多 大學 帶領 個 計劃 為咗 測量 大氣 逃脫 我哋 喺 金星 同 地球 都 有 類似 嘅 量度 當 我哋 集齊 所有 嘅 量度 數據 我哋 就可以 將 佢哋 併 埋 一齊 就可以 瞭解 呢 三 個 行星 點樣 同 周圍 嘅 太空 環境 互動 我哋 就可以 決定 磁場 係咪 對 適 居 性 重要	So I ve posed a problem for you here but I don t have a solution yet We don t have a solution But we re working on it How are we working on it Well we ve sent spacecraft to all three planets Some of them are orbiting now including the MAVEN spacecraft which is currently orbiting Mars which I m involved with and which is led here out of the University of Colorado It s designed to measure atmospheric escape We have similar measurements from Venus and Earth Once we have all our measurements we can combine all these together and we can understand how all three planets interact with their space environment with the surroundings And we can decide whether magnetic fields are important for habitability or not
但 係 我哋 都 好 緊張	But we were all so nervous
笑聲	Laughter
多謝	Thank you
靈魂 嘅 創口	holes in the fabric of their souls
玩 搏命 玩	to play and play a lot
趕 唔到 呢	You can t say it
而且 咁做 可以 教 到 我哋	and save ourselves by doing so
笑聲	Laughter
如果 我哋 可以 抵抗	And if we can resist
我 仲想 瞭解 多啲 於是 我 去 讀 森林 學 好 快 就 同一 班 大人物 做嘢 一齊 經營 商業 伐木 大規模 嘅 濫伐 景況 令人 擔憂 我 亦 飽受 良心 嘅 譴責 佢哋 仲 灑 農藥 斬 曬 啲 白楊樹 同 樺樹 純粹 為咗 改 種 更 賺錢 嘅 松樹 同 冷 杉樹 好 令人 震驚 似乎 咩 都 阻止 唔到 工業 機器 嘅 推進	And I wanted to know more So I studied forestry But soon I found myself working alongside the powerful people in charge of the commercial harvest The extent of the clear cutting was alarming and I soon found myself conflicted by my part in it Not only that the spraying and hacking of the aspens and birches to make way for the more commercially valuable planted pines and firs was astounding It seemed that nothing could stop this relentless industrial machine
當 我 第一次 聽到 嚟 個 主題	When I first heard this theme
依 我 睇	and as far as I m concerned
於是 我哋 啟 發 左 要 創作 一個 項目	So we were inspired to create a project
點解 我哋 需要 一個 可持續 農業 呢 事實上 根據 預測 到咗 2050 年 世界 人口 將會 達到 大概 一百 億 我哋 預計 糧食 產量 要 提高 70 同時 我哋 會 需要 更多 嘅 資源 原材料 去 生產 消費品 工業品 咁 我哋 要點 樣 滿足 呢個 需求	And why might we need a sustainable agriculture Well actually it is estimated that the population will reach about 10 billion by 2050 and we re projecting that we will need to increase food production by 70 percent In addition we will need many more resources and raw materials to make consumer goods and industrial goods So how will we scale to meet that demand
你哋 有 Facebook 我哋 有人 人 網	You have Facebook we have Renren
就見到 啲 相 自己 顯現 左 出 呢	and the photos would get revealed by themselves
咁 蜘蛛 絲 究竟 係點 㗎 呢 蜘蛛 絲 差唔多 全部 由 蛋白質 造成 絕大部分 呢啲 蛋白質 都 能夠 由 單 基因 家族 解釋 所以 我哋 今日 睇到 不同 種類 嘅 蜘蛛 絲 都 係由 單 基因 家族 所 編碼 而 成 因此 可以 假設 原始 蜘蛛 祖先 只係 做 一種 絲 同埋 喺 過去 嘅 三 億 八千 萬年 有 一種 蜘蛛 絲 基因 複製 咗 跟着 分開 演變 專門化 同一 條 基因 不停 不停 咁 重複 以上 最後 演化 出 大量 唔同 樣 嘅 蜘蛛 絲 但 所有 呢啲 蜘蛛 絲 都 有 幾個 共同點 譬如 佢哋 都 係 好 長 同 其他 蛋白質 比較 佢哋 長得 出奇 佢哋 又 高度 重複 同埋 擁有 好多 甘氨酸 同 丙氨酸 類型 嘅 氨基酸 為咗 將 一 粒 蜘蛛 絲 蛋白 形象化 呢條 係 拖 絲 蛋白 正確 啲 嚟講 係 黑 寡婦 蜘蛛 吐出 嚟嘅 拖 絲 蛋白 嘅 其中 一部分 呢款 蛋白 序列 我 好 鐘意 日日 夜夜 睇住 笑聲	But what exactly is spider silk Spider silk is almost entirely protein Nearly all of these proteins can be explained by a single gene family so this means that the diversity of silk types we see today is encoded by one gene family so presumably the original spider ancestor made one kind of silk and over the last 380 million years that one silk gene has duplicated and then diverged specialized over and over and over again to get the large variety of flavors of spider silks that we have today There are several features that all these silks have in common They all have a common design such as they re all very long they re sort of outlandishly long compared to other proteins They re very repetitive and they re very rich in the amino acids glycine and alanine To give you an idea of what a spider silk protein looks like this is a dragline silk protein it s just a portion of it from the black widow spider This is the kind of sequence that I love looking at day and night Laughter
好多 人 眼中 包括 我 自己	Dentistry might seem and I think it is
我哋 一定要 徹底 改變	We ve got to clear the arteries of our lives
佢 跟住 講 咁多年 嚟	He says It s really brought us closer together
即係 大概 佔 全球 八 分 一 人口	So that s almost an eighth of society
我 栽種 我 自己 嘅 藝術	Just like a graffiti artist where they beautify walls
所以 話 依家 我哋 都 係 古生物學家	So now we re all these paleontologists
係 錯 架	is the light footprint
我 將會 同 大家 講 嚇	I m going to be talking to you
如果 你 愛 工作 而且 愛 挑戰	You come for the work and the challenge
我哋 點樣 可以 有效 利用	about how we can tap
19 歲 的 時候	By 19
我 屋企 嘅 女性 並 唔係 咩 特殊 例子 喺 呢個 講座 同 喺 洛杉磯 睇 直播 嘅 女性 仲有 全球 各 哋 嘅 女性 都 唔係 咩 特殊 例子 我哋 唔係 小數 而係 大多數 我哋 經常 低估 自己 亦 被 人 輕視 作為 女性 係時候 要 望 高啲 遠 啲 同 投資 多啲 令 全世界 嘅 女性 受益	The women in my family are not exceptions The women in this room and watching in L A and all around the world are not exceptions We are not a special interest group We are the majority And for far too long we have underestimated ourselves and been undervalued by others It is time for us to aim higher when it comes to women to invest more and to deploy our dollars to benefit women all around the world
所有 呢啲 方法 無論 從 最高 科技 到 最低 成本 都 會 摞 嚟 改革 農業 高科技 乾 預 方法 係用 嚟 增強 以 氣候 和 保護 為 導向 嘅 農業 方式 而 大型 生產者 需要 投資 呢啲 科技 同時 我哋 都 需要 為 細 規模 嘅 農民 擴大 使用 低成本 方法 途徑 而 實現 呢個 願景 亦 需要 全球 轉變 去 配合 若 發展 植物 佔 比 更 大 嘅 飲食 模式 會 大大 減少 食物 丟失 同 浪費 咁做 就 會 減輕 對 土地 嘅 壓力 畀 農民 可以 做到 更多 能力 所 及 嘅事	It will take all of these methods from the most high tech to the lowest cost to revolutionize farming High tech interventions stand to amplify climate and conservation oriented approaches to farming and large producers will need to invest in implementing these technologies Meanwhile we ll have to expand access to the lower cost methods for smaller scale farmers This vision of future farming will also require a global shift toward more plant based diets and huge reductions in food loss and waste both of which will reduce pressure on the land and allow farmers to do more with what they have available
掌聲	Applause
bb 仔 玩 細路仔 玩	Babies play kids play
嗡嗡聲 麥克風 嘶嘶聲	Hums microphone hiss
但 唔係話 確保 無 童工 咁 簡單 你 要 知道 今時今日 咁 樣 仲未 夠 我 覺得 我哋 都 會同 意 兒童 係 世界上 最 重要 又係 最 易 受到 傷害 嘅 一班人 所以 今日 企業 點樣 可以 利用 自己 嘅 價值 鏈 支持 更 好嘅 生活 質素 同 保護 兒童 權益 呢 我哋 同 聯合國 兒童基金會 同 救助 兒童 會合 作 針對 兒童 權益 制定 新嘅 商業 守則 愈 嚟 愈 多 企業 簽署 呢個 守則 但 一個 調查 發現 好多 企業 老闆 覺得 佢哋 企業 同 兒童 毫無 關係 所以 我哋 決定 同知 得 比 我哋 多 嘅 合作 夥伴 一齊 問 自己 最 難 嘅 問題 我哋 點樣 先可以 喺企 業 以外 幫 到 兒童 提升 佢哋 嘅 生活 質素 我哋 有 一個 基金 承諾 同 合作 夥伴 一齊 喺 2015 年 之前 幫 一億 兒童 改善 生活 同 維護 權益	But it s not just as simple as making sure there s no child labor You ve got to say that s not enough today I think we d all agree that children are the most important people in the world and the most vulnerable So what can a business do today to actually use your total value chain to support a better quality of life and protect child rights We ve worked with UNICEF and Save the Children on developing some new business principles with children s rights Increasing numbers of businesses are signing up to these but actually in a survey many business leaders said they thought their business had nothing to do with children So what we decided to do was we will look and ask ourselves the tough questions with partners who know more than us what can we do to go beyond our business to help improve the lives of children We also have a foundation that s committed to work through partners and help improve the lives and protect the rights of 100 million children by 2015
如果 你 住 加州 就 無問題	which is fine if you live in California
一個 完整 嘅 生命 統一體	to which you belong
是 我 每一次 在 公共 場合	the first time in any sort of public setting
嗰啲 漁民 來到 潟湖 下游 搵 新嘅 地方 落腳 時 佢哋 可能 都 諗唔到 呢個 城市 發展 之後 會 唔再 認 佢哋 屬於 呢度 我 諗 我 爺爺 喺度 劃定 拉 哥 斯 嘅 新 邊界 時 佢 係想 將 個 城市 開放 來 歡迎 其他人 來 遷入 就 好似 佢 曾經 俾 歡迎 佢 咁 喺 我 嚟呢度 嘅 路上 我 嘅 嫲嫲 打電話 畀 我 同 我 講 佢 以 我 為 傲 話 如果 我 爺爺 同 媽咪 仲 在世 嘅話 佢哋 亦 會 以 我 為 榮 因為 我 實現 咗 佢哋 嘅 夢想 但係 冇理由 佢哋 同 我 可以 實現 夢想 而 其他人 嘅 夢想 就 變成 噩夢 我哋 冇 忘記 冇 落腳 嘅 地方 就冇 實現 夢想 嘅 地方	When those fisherpeople started to sail down the lagoon in search of new homes it could not have occurred to them that the city that would rise up around them would one day insist that they do not belong in it I like to believe that my grandfather in mapping new frontiers for Lagos was trying to open it up to make room for other people to be welcomed by the city in the same way that he was On my way here my grandma called me to remind me how proud she was how proud my grandfather and my mother would have been I am their dreams come true But there is no reason why their dreams or mine for that matter are allowed to come true while those of others are turned to nightmares And lest we forget the minimum requirement for a dream is a safe place to lay your head
民 眾 又 開始 擔心 食用 油	people are very concerned about cooking oil
或者 用手 機 嗰陣 你 就係 一個 半 機械人	or use one of your cell phone devices
你 有 咁 醒	What s your plan then
波斯尼亞 塞族 人 之間 嘅 邊界 分爭 停止 咗	and the Bosnian Serb territory have calmed down
佢哋 就 響度 做 呢啲嘢 係 一樣 㗎咋	And they do this here It s the same deal
我 早期 嘅 畫布 都 係啲 你 諗唔到 嘅嘢 就 好似 用 煎炸 食物 做 畫布 咁 所以 係 幾乎 冇 可能 將 顏料 搽 上 雞蛋 嘅 油脂 度 笑聲 更加 難 去 將 顏料 黐 喺 柚子 嘅 果酸 度 因為 果酸 只會 抹 走 筆觸 嘅 顏料 就 好似 隱形 墨水 一樣 當 我 畫 一 筆 顏料 就咁 唔見咗	My early canvases ended up being things that you wouldn t expect to be used as canvas like fried food It s nearly impossible to get paint to stick to the grease in an egg Laughter Even harder was getting paint to stick to the acid in a grapefruit It just would erase my brush strokes like invisible ink I d put something down and instantly it would be gone
急症室 打 嚟 叫 我 返去 醫院	to come and see a woman with a diabetic ulcer
秘密 有好多 種 形態 佢哋 可以 係 震撼 或者 傻傻地 嘅 亦可 以 係 觸動 人心 秘密 可以 將 我哋 連接 到 心 入邊 最 深處 嘅人 性 或者 連接 到 我哋 再 無可 能 見到 嘅人	Secrets can take many forms They can be shocking or silly or soulful They can connect us with our deepest humanity or with people we ll never meet again
笑聲	Laughter
好多 謝 大家	Thank you very much
並 造成 永久 嘅 精神 損傷	and causes permanent mental impairments
掌聲	Applause
100 年 先 變得 嗰啲 咁多	that has little changed for 100 years
你 係咪 以為 我 唔會 嚟 喇	You thought I wouldn t come right
然後 有 個 叫 Dan 嘅 男人 回覆 我	They got back to me a guy called Dan said
所有人 都 認 為 呢位 女士	And everybody there agreed this woman was very sick
之後 我 繼續 探索 大自然 裏面 生命 互連 嘅事 物 我 個 女同 我 講 媽媽 妳 應該 去 追 風 所以 2008 年 我 就 開始 追 風	In my continued exploration of subjects in nature that have the ability to illustrate the interconnection of all life I started storm chasing in 2008 after my daughter said Mom you should do that
幫 我 𥄫住 呢個	Watch those men for me
這種 體會 是 因為 我	This one happened because
我 宜家 同時 身處 三 個 唔同 嘅 地方	I m standing in a room across the street
想 一 想	consider
在 調製 放大	in the modulation amplification
我 至 發覺 我 同 佢 之間	and it appears there have been
一起 行動 啦	Let s do it
心口 左手 手 成 一個 爪 型	Chest LH Flash claw
我 係個 度 六 個月	where I spent six months of my life
依個 係 我 人生 中 最差 嘅 一個 月	This was the worst month of my life
就 無 乜事 喇	and that s the end of the story
唔出 奇 呀	But it made perfect sense
重點 係 蜜蜂 死亡	The bottom line is
多謝	Thank you
在 各種 紛爭 的 亂世 下	to keep more people content
黃 錦 星	Dreamy Wong
我 就 諗 咁 就得 啦 既然 由 我 打理	So I m like Cool I can do whatever the hell I want
掌聲	Applause
我哋 都 知道 神 多數 站 喺 強大 嘅 一方 問題 係 到底 邊個嘅 神 做嘅 呢 場 辯論 令 19 世紀 嘅人 睇到 希伯來 經文 只係 偌大 嘅 宗教 世界 嘅 一小部分 可以 肯定 嘅係 圓柱 比 以賽亞書 更 早 出現 而 耶和華 所 講嘅 語言 同 馬 爾 杜 克 所 講嘅 十分 類似 以 賽 亞 知道 呢件事 應該 唔合理 因為 佢 話 當然 係 神 嘅話 語 你哋 雖然 唔識 我 但 我 叫 你哋 個名 我 諗 大家 都 同意 居魯士 並 唔知 自己 依照 緊 耶和華 嘅 指令 行事 同樣 如果 佢 知道 佢 係 聽咗 馬 爾 杜 克 嘅話 先 做 呢件事 佢 會 嚇 一 大 跳 因為 有趣 嘅係 居魯士 係 伊朗 人 而 伊朗 人 會 拜神 喺 呢 兩份 經文 中 根本 就冇 提過 伊朗 人 嗰 班 嘅 神	God we know is usually on the side of the big battalions The question is which god was it And the debate unsettles everybody in the 19th century to realize that the Hebrew scriptures are part of a much wider world of religion And it s quite clear the cylinder is older than the text of Isaiah and yet Jehovah is speaking in words very similar to those used by Marduk And there s a slight sense that Isaiah knows this because he says this is God speaking of course I have called thee by thy name though thou hast not known me I think it s recognized that Cyrus doesn t realize that he s acting under orders from Jehovah And equally he d have been surprised that he was acting under orders from Marduk Because interestingly of course Cyrus is a good Iranian with a totally different set of gods who are not mentioned in any of these texts
籠子 裏面 圈 養 嘅 雞 同生 活 係 污水 裏面 嘅 魚 佢地 嘅 癌 癥	the cancer in caged chickens and polluted fish
佢 睇住 我 大 架	He watched me grow up
而 真正 嘅 問題 仲未 被 檢測 出嚟	while their real problems have gone undetected
磁場 會 影響 適 居 性 嗎 會 點 影響 好多 科學家 認 為 行星 嘅 磁場 就 好似 大氣層 嘅 防護 罩 令 行星 四周 嘅 太陽 粒子 改變 方向 屬於 力場 效應 嘅 一種 亦都 同 粒子 嘅 電荷 有關 我 鐘意 將 佢 比喻 為 麫 包 鋪 廚 窗 揭 得開 嘅 玻璃 蓋	Does this influence habitability Well how might it Many scientists think that a magnetic field of a planet serves as a shield for the atmosphere deflecting solar wind particles around the planet in a bit of a force field type effect having to do with electric charge of those particles I like to think of it instead as a salad bar sneeze guard for planets
日本 旅行	Going to Japan to find your husband
佢 同 我 對 森林 都 有 好奇 而 我 第一個 醒悟 就來 自我 哋 喺 湖邊 嘅 廁所 我哋 隻 狗 Jigs 跣 咗 落 個 屎氹 度 爺爺 就 攞住 個 鏟 跑 去 救 隻 衰 狗 爺爺 喺 個 氹 度 游 成身 臭 曬 就喺 爺爺 挖 緊 泥 嗰陣 我 俾 氹 裏 邊啲 樹根 吸引 住 後來 先知 地底 嗰啲 係 白色 菌絲 菌絲 下 麵 係 紅色 同 黃色 嘅 礦物 層 後尾 我 同 爺爺 救 到 隻 狗 喺 嗰 一剎那 我 體會 到 樹根 同 土壤 嘅 融合 先係 森林 嘅 基礎	He and I had this curiosity about forests and my first big aha moment was at the outhouse by our lake Our poor dog Jigs had slipped and fallen into the pit So grandpa ran up with his shovel to rescue the poor dog He was down there swimming in the muck But as grandpa dug through that forest floor I became fascinated with the roots and under that what I learned later was the white mycelium and under that the red and yellow mineral horizons Eventually grandpa and I rescued the poor dog but it was at that moment that I realized that that palette of roots and soil was really the foundation of the forest
他 剛剛 以 六 位 數 的 利潤	He had just signed the contract
所以 係 非常 細小 但係 非常 有用	So very small but very useful
經過 媒體 偷拍 扭曲 嘅 相	who ve been stolen and distorted by the media
如果 我哋 繼續 用 依家 嘅 現代 農業 種植 就 唔單止 面臨 土地資源 匱乏 嘅 問題 仲會 有風 險 令 我哋 啲 子孫 失去 呢個 美麗 嘅 星球 但係 用 新型 農業 就可以 避免 我哋 可以 想像 一個 富足 嘅 未來 等 我哋 嚟 創造 唔單止 可以 避免 地球 毀滅 太空船 墜毀 仲 可以 發展 造福 我哋 以及 2050 年 一百 億 人口 生活 嘅 生態系統 同生 活 方式	Not only are we running out of space but if we continue to operate under the status quo with modern agriculture we run the risk of robbing our progeny of a beautiful planet But it doesn t have to be this way We can imagine a future of abundance Let us create systems that keep planet Earth our spaceship not only from not crashing but let us also develop systems and ways of living that will be beneficial to the lives of ourselves and the 10 billion that will be on this planet by 2050
今日 佢地 係 長島 同 你 一齊	And today they are with you in Long Beach
另外 一 件 發生 咗 嘅嘢 就係 你 擁有 第二個 自己	The other thing that happens is that you have a second self
佢地 嘅 大腦 會話 比 佢地 聽	and their brain was telling them
同埋 無助感	and hopelessness
